Instrument,Latitude,Longitude,ocean,year,month,Group_index,PFT,Selection,Min_size,Max_size,Average_size,Slope,Slope_sd,Total_abundance,Max_abundance,Intercept_ref,Intercept_ref_sd,Intercept,Intercept_sd,R2,Absolute_intercept,Date_bin,Month,Conductivity,Salinity,Oxygen,AOU,MLD,Phosphates,Silicates,Temperature,Nitrates,SLA,CHL,Iron,PAR,Aerosol_thickness,DUWT001,PSD_slope,Picophytoplankton,Nanophytoplankton,Microphytoplankton,FSLE,theta_max
Scanner,-21.5,41.5,Indian Ocean,2010,5.0,41,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False]",455.9298191608002,2299.7825984209894,628.7524442258527,-1.088847576508124,0.0740437068059036,462.0599035617887,180.9349620494942,1.033506241456279,0.0543756931165642,2.4536981775715567,0.171609070703824,0.9730034808256636,284.2484973880566,2010-05,May,5.527617,35.17329,204.83772,-1.9692067,49.807823,182.2235,2265.8936,26.302309,4.140917,-0.09942499999999999,0.13908635,0.0005099726,39.003593,0.06987013,2.4128708e-13,4.6291666,0.77983916,0.20778495,0.012375905,-0.11605075,-4.7640886
Scanner,-21.5,42.5,Indian Ocean,2010,5.0,42,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False]",455.9298191608002,3650.3424496887937,656.9363861463203,-1.0296910637931087,0.0419667766530064,585.834764750697,206.919927913924,1.194603509658322,0.0363700616774317,2.537637169317686,0.1210166315629078,0.9868854297479068,344.855509926692,2010-05,May,5.544321,35.2318,204.53673,-1.5555809,47.17685,154.24149,2483.2327,26.5236,12.058479,0.005518750000000001,0.14588062,0.0006740028,39.148888,0.059787497,2.0639865e-13,4.5916667,0.7674209,0.21810348,0.014475671,-0.08279865,11.683436
Scanner,-21.5,172.5,South Pacific Ocean,2019,11.0,228,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False]",455.9298191608002,4599.565196841983,618.755032234243,-0.9741326359155968,0.0563322421705191,225.57175556344927,112.0713593762982,0.7642225294302945,0.0548401508822774,2.034790921262251,0.2271295534870963,0.970782546780288,108.34052137973954,2019-11,November,5.357076,35.3581,211.47884,-3.8121734,36.471794,245.43265,158.75417,24.83029,118.02119,0.0525375,0.052343745,0.0001273388,58.403275,0.07925556,5.917116e-13,5.280208,0.9085877,0.08998504,0.0014272615,-0.048455354,27.802624
Scanner,-20.5,-179.5,South Pacific Ocean,2019,11.0,229,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False]",455.9298191608002,2895.6864471140507,620.1811879453544,-0.9957122610561512,0.0281548393608457,159.53502124575868,73.9909330414077,0.6192961419077538,0.022077184134049,1.9180109981946247,0.095061275983141,0.9944343925258976,82.79631310161678,2019-11,November,5.473665,35.35321,210.80571,-7.9526243,35.23168,159.54634,1388.3486,25.37319,85.82737,0.091425,0.13498095,0.00055867544,50.396885,0.07177014,6.2551234e-13,4.7189236,0.8024528,0.18780635,0.009740831,-0.08089301,9.9801655
Scanner,-20.5,-177.5,South Pacific Ocean,2019,11.0,230,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False]",455.9298191608002,2895.6864471140507,586.7063557471611,-1.1456312842724388,0.0311611624691514,176.74495181471912,89.2179668730342,0.4994549825574966,0.0244345461483681,1.9937103281062845,0.1012169556775255,0.994847805396159,98.5621862290024,2019-11,November,5.472131,35.38979,209.89404,-7.9455347,39.549103,162.50098,1326.9338,25.31899,93.28929,0.11776875,0.10285836,7.866844e-05,52.057507,0.06662361,5.30465e-13,4.636198,0.7814869,0.20627372,0.012239371,-0.049054913,9.220664
Scanner,-20.5,-175.5,South Pacific Ocean,2019,11.0,231,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",455.9298191608002,1827.9770239256288,604.462134233563,-1.13792877666777,0.0755987742795619,173.30247901406807,74.06752047589089,0.5354473763012693,0.054723710143596,2.019656284291645,0.1856584996819674,0.9784081714419532,104.63001420757575,2019-11,November,5.4737945,35.42791,208.78835,-7.292984,37.13582,166.48174,1188.1014,25.26149,88.34692,0.07978125000000001,0.13877247,0.00015998828,56.62172,0.07353541,5.045536e-13,4.4403644,0.71794367,0.25928634,0.02277,-0.06991541,8.231384
Scanner,-20.5,-170.5,South Pacific Ocean,2019,11.0,232,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",455.9298191608002,1827.9770239256288,561.1294843062097,-1.2208657265552596,0.0215400370606604,71.63403752248239,42.088211889887,0.0239835684667375,0.0155921938658808,1.6163677527560645,0.0660973147552933,0.9984459976426588,41.33974113133354,2019-11,November,5.4947376,35.40989,204.59984,0.826116,36.51491,157.3717,1041.1927,25.48399,65.44438,0.09305000000000001,0.055075224,0.00013472831,48.68246,0.05461736,5.2162533e-13,4.875868,0.8375972,0.15597998,0.006422818,-0.07254726,19.830591
Scanner,-20.5,-166.5,South Pacific Ocean,2019,11.0,233,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False, False, False]",455.9298191608002,1827.9770239256288,582.6547492856483,-1.1884952216151408,0.103570245091598,96.4786131282318,52.31401894484311,0.2223969512808786,0.0749714281204435,1.7725600468927918,0.289808817910709,0.9634186132489456,59.23249778906844,2019-11,November,5.4906626,35.52721,200.07877,5.4384413,37.47041,145.81749,1247.2395,25.52499,104.92221,0.08878749999999999,0.038435075,8.642213e-05,46.280823,0.086156934,5.165345e-13,5.130469,0.88736254,0.11020285,0.002434648,-0.05014907,8.931652
Scanner,-20.5,-3.5,South Atlantic Ocean,2010,9.0,49,Crustaceans,"[False, False, False, False, False, False, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False]",724.1443226318906,4599.565196841983,961.9426688296176,-1.1752435371832584,0.1377373294000824,531.4084250623804,319.0399297115373,1.6919125914233333,0.1275528055085695,2.516376474217244,0.3544655024279445,0.912284579984208,328.37983039494577,2010-09,September,4.897981,36.190113,230.40054,-2.2395556,131.91713,429.73248,1634.1869,19.51861,368.42914,0.0088375,0.14016351,0.0003244403,43.517445,0.105932064,8.138004e-13,4.2430553,0.6415482,0.31880245,0.039649367,-0.029381404,24.275415
Scanner,-20.5,40.5,Indian Ocean,2010,5.0,43,Crustaceans,"[False, False, False, False, True, True, True, True, True, True, True, True, True, False, False, False, False, False, False, False, False, False, False, False]",455.9298191608002,2895.6864471140507,650.4259562243659,-0.9670996030311676,0.0446255537847161,269.3430881646478,102.235311637949,0.8993306762903774,0.0349924414542812,2.160725831386177,0.1337474878229627,0.9853142000196884,144.78575374854807,2010-05,May,5.5364842,35.11661,203.71344,-1.7769506,49.67533,205.43591,2180.2222,26.5394,4.2647953,-0.003631249999999999,0.14268325,0.0007538709,39.48561,0.090517364,2.349592e-13,4.582118,0.7664071,0.2194452,0.014147745,-0.1371305,-31.52212
